id;name;created_at;department_id
a280c88e-0f0b-4ed0-bf10-c3e1742da5be;เครื่องผสม แผนกผลิต;2026-07-18 01:40:57.544872+00;cb81f986-eec5-4eac-9b62-1a371fe8ebb8
d19cba69-c708-4473-9392-7c3a3be6ee46;แอร์ แผนก ผลิต;2026-07-18 02:51:48.8337+00;cb81f986-eec5-4eac-9b62-1a371fe8ebb8
9298ff5a-7053-47b0-acd9-a1ca4cdac19d;แอร์  แผนกสโตร์;2026-07-18 06:53:58.095798+00;c0e97601-f8e7-4843-88cd-e6c9f70bc877
718a5daa-2788-4fa8-a069-774e61e99e58;โฟล์คลิฟท์น้ำมัน    แผนก สโตร์;2026-07-18 07:12:46.300332+00;c0e97601-f8e7-4843-88cd-e6c9f70bc877
0e62dd43-ab32-4b11-a99b-b15988fb9fc8;แฮนด์ลิฟท์ผลิต;2026-07-18 07:47:14.002169+00;cb81f986-eec5-4eac-9b62-1a371fe8ebb8
8c5dd863-66be-440b-97e7-320b1b4e58c4;แฮนด์ลิฟท์ (CN);2026-07-18 07:56:59.097533+00;39bdf2ff-43df-49a5-8f70-8b43ff60ac54
218b16d6-f5fb-4a33-bc6a-555ff1e429bb;อื่นๆ (CN);2026-07-18 07:59:40.841673+00;39bdf2ff-43df-49a5-8f70-8b43ff60ac54
fd4e8030-d6e5-470e-b7c6-bc396e9f15ed;แอร์อ แผนกบุคค;2026-07-21 03:20:49.921162+00;26c15678-1332-4304-9cff-7387607115ff
31c515c1-36ec-46b6-9b95-c78eaabeb4be;แอร์ แผนกคลังสินค้า;2026-07-21 04:34:52.004344+00;7d38fe14-8dc9-4b09-8d0c-95bf62568b93
d3d2f3c0-857f-4081-b48b-406d75d3f008;อื่นๆแผนกวิศวกรรม;2026-07-24 09:03:03.920048+00;b830fd79-f2df-4438-b3b5-9b4db4ea7728
b61f2182-e904-4e79-a156-5edb6001a6ff;แอร์แผนกวิศวกรรม;2026-08-07 02:46:44.065222+00;b830fd79-f2df-4438-b3b5-9b4db4ea7728
