id;req_date;part_code;part_name;qty;job_code;job_id;repairer_id;department_id;created_by;source;created_at;updated_at
c921fecb-84e0-4e4e-bf10-131ee8aac459;2026-07-25;0401E8-00674/004;"สายยางฟู๊ดเกรดpras-foodขนาด1""";2.5เมตร;260724005;5c42ba33-48f3-4c5c-94ea-605e0a133e07;18315ef5-0d9a-4c48-836b-d172ad01c347;72e122e2-76e3-44aa-a586-0a3f86291d77;18315ef5-0d9a-4c48-836b-d172ad01c347;repairer;2026-07-25 07:51:52.960868+00;2026-07-25 07:51:52.960868+00
ae7e421c-2e6d-4d70-bb3a-0383a76f429a;2026-07-25;260708001;"""PTFE MESH CONVEYOR BEIGE 4X4 ' ENDLESS BY BULLNOSE JOINT SIZE 390 MM. X 2,730 MM. WITH EDGE FILM RED 25 MM. X 2 SIDES (ชริงค์เบอร์ 3)""";1เส้น;260708001;27122fdd-89b7-4547-99b4-b122a2b67a48;bd10cd0f-07af-4f58-87d9-595a76cd55f5;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;bd10cd0f-07af-4f58-87d9-595a76cd55f5;repairer;2026-07-25 08:05:05.572175+00;2026-07-25 08:05:05.572175+00
cd65e5a3-3bca-4009-8919-c10db8fa3fc9;2026-07-27;0401E8-00699/001;"""งานบูช (ตามตัวอย่าง) MAT : ทองเหลือง Size : 30 x 12 mm.  บูชทองหลืองตัวล็อกชุดหน้าซีลเครื่องเแนวตั้ง SP01/SP03/SP04""";1;260706007;bfc5710a-c3e2-4be9-b79c-077b466d7309;22275234-5a63-4e64-bdd4-07ec11241b46;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;22275234-5a63-4e64-bdd4-07ec11241b46;repairer;2026-07-27 02:12:30.213451+00;2026-07-27 02:12:30.213451+00
96443221-698f-41db-98af-a356cb004909;2026-07-27;0401E4-00026    001;ปลั๊กตัวผู้แบบยาง 3 ขา;1;260724001;a3ae9e06-b5fa-4459-959a-78ca8fe1d469;14a61d91-95ef-411a-b313-dae02e0f86a9;72e122e2-76e3-44aa-a586-0a3f86291d77;14a61d91-95ef-411a-b313-dae02e0f86a9;repairer;2026-07-27 03:06:29.152871+00;2026-07-27 03:06:29.152871+00
b7dc4979-db10-46b9-8858-1b04f1640175;2026-07-27;0401E4-00551/004;บล๊อคยางพร้อมปลั๊กกราวด์ ขนาด 4x4;1;260716007;1459b1cb-c558-4e6b-b6ba-f93d35dbe453;aee8cef8-8534-459f-94b8-9de40933bee7;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;aee8cef8-8534-459f-94b8-9de40933bee7;repairer;2026-07-27 08:17:38.938719+00;2026-07-27 08:17:38.938719+00
26c7a694-3133-42bc-a6d6-f49c75363eb1;2026-07-27;0401E4-00122/003;"เคเบิลไท 12""";30;260716007;1459b1cb-c558-4e6b-b6ba-f93d35dbe453;aee8cef8-8534-459f-94b8-9de40933bee7;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;aee8cef8-8534-459f-94b8-9de40933bee7;repairer;2026-07-27 08:17:38.938719+00;2026-07-27 08:17:38.938719+00
51212762-31ca-41f8-aa08-f14ec4bbafb2;2026-07-28;0401E4-00154002;สายโทรสับ;1;260721004;72e4270a-69d9-4577-8dfc-c21403c3ca59;2600fa0f-deae-4983-a9a4-a6253f0f8ad0;755d8bf8-abaf-4e67-8c66-c04dab7755d0;2600fa0f-deae-4983-a9a4-a6253f0f8ad0;repairer;2026-07-28 02:42:08.383102+00;2026-07-28 02:42:08.383102+00
db5a1d92-c22c-49e2-9e7b-a6a294728055;2026-07-31;0401E4-00551/004;บล๊อคยางพร้อมปลั๊กกราวด์ ขนาด 4x4;2;260716008;09630ad8-bb7c-41c0-9493-673d14b9307f;22275234-5a63-4e64-bdd4-07ec11241b46;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;22275234-5a63-4e64-bdd4-07ec11241b46;repairer;2026-07-31 08:32:06.490264+00;2026-07-31 08:32:06.490264+00
9cf26afe-13aa-4f04-85c9-85bd3e596ebe;2026-07-31;0401E4-00026 001;ปลั๊กตัวผู้แบบยาง 3 ขา;1;260716008;09630ad8-bb7c-41c0-9493-673d14b9307f;22275234-5a63-4e64-bdd4-07ec11241b46;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;22275234-5a63-4e64-bdd4-07ec11241b46;repairer;2026-07-31 08:32:06.490264+00;2026-07-31 08:32:06.490264+00
53c05c77-41ef-4211-bef6-ef81de9a93b1;2026-08-01;0401E4-00175/007;"บานพับแบบถอดได้สแตนเลส 304 ขนาด 3""";2;260728003;45b404f3-8be5-4984-b095-5eb05e151f87;bd10cd0f-07af-4f58-87d9-595a76cd55f5;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;bd10cd0f-07af-4f58-87d9-595a76cd55f5;repairer;2026-08-01 02:30:46.345615+00;2026-08-01 02:30:46.345615+00
